Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,HL-60,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.12,,,1
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.11,,,2
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.08,,,3
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.04,,,4
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Aldehyde dehydrogenase 1A1,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.01,,,5
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,DNA polymerase beta,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,6
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Microtubule-associated protein tau,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,7
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,NAD-dependent protein deacetylase sirtuin-6,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,8
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Menin/Histone-lysine N-methyltransferase MLL,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,9
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Heat shock protein HSP 90-alpha,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,10
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,SW872,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,11
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,C8166,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.0,,,12
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,A2780,,,,DNN(ECFP4),Homo sapiens,0.27,,,13
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,DNN(ECFP4),Homo sapiens,0.19,,,14
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(ECFP4),Homo sapiens,0.18,,,15
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,LoVo,,,,DNN(ECFP4),Homo sapiens,0.17,,,16
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 2C19,,,,DNN(ECFP4),Homo sapiens,0.16,,,17
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(ECFP4),Homo sapiens,0.16,,,18
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,MAP kinase ERK2,,,,DNN(ECFP4),Homo sapiens,0.16,,,19
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,5637,,,,DNN(ECFP4),Homo sapiens,0.13,,,20
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,KB,,,,DNN(ECFP4),Homo sapiens,0.11,,,21
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,NCI-H187,,,,DNN(ECFP4),Homo sapiens,0.11,,,22
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Menin/Histone-lysine N-methyltransferase MLL,,,,DNN(ECFP4),Homo sapiens,0.11,,,23
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 3A4,,,,DNN(ECFP4),Homo sapiens,0.11,,,24
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(RDKit),Homo sapiens,0.09,,,25
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(RDKit),Homo sapiens,0.09,,,26
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,DNN(RDKit),Homo sapiens,0.07,,,27
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Microtubule-associated protein tau,,,,DNN(RDKit),Homo sapiens,0.04,,,28
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Bile acid transporter,,,,DNN(RDKit),Homo sapiens,0.04,,,29
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,H9,,,,DNN(RDKit),Homo sapiens,0.04,,,30
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,11-beta-hydroxysteroid dehydrogenase 2,,,,DNN(RDKit),Homo sapiens,0.04,,,31
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Aldehyde dehydrogenase 1A1,,,,DNN(RDKit),Homo sapiens,0.04,,,32
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,G-protein coupled bile acid receptor 1,,,,DNN(RDKit),Homo sapiens,0.03,,,33
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Survival motor neuron protein,,,,DNN(RDKit),Homo sapiens,0.03,,,34
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,HeLa,,,,DNN(RDKit),Homo sapiens,0.02,,,35
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(Layered),Homo sapiens,0.15,,,36
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(Layered),Homo sapiens,0.13,,,37
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Ubiquitin carboxyl-terminal hydrolase 2,,,,DNN(Layered),Homo sapiens,0.1,,,38
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Microtubule-associated protein tau,,,,DNN(Layered),Homo sapiens,0.07,,,39
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 2C19,,,,DNN(Layered),Homo sapiens,0.07,,,40
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Menin/Histone-lysine N-methyltransferase MLL,,,,DNN(Layered),Homo sapiens,0.06,,,41
(+)-Bornyl acetate,Abies alba,6950274,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Neuropeptide S receptor,,,,DNN(Layered),Homo sapiens,0.06,,,42
